timestamp,strategy,reason,duration_s,ewma_z
2020-08-07 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.22,0.0194
2020-08-07 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.32,0.0165
2020-08-07 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.23,0.0155
2020-08-08 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.2,0.0151
2020-08-08 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0144
2020-08-08 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.23,0.0196
2020-08-08 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.21,0.017
2020-08-09 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.2,0.0172
2020-08-09 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.29,0.0184
2020-08-09 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.22,0.0186
2020-08-09 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.017
2020-08-10 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0182
2020-08-10 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.27,0.0234
2020-08-10 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0211
2020-08-10 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0205
2020-08-11 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.22,0.0211
2020-08-11 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0145
2020-08-11 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0129
2020-08-11 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.016
2020-08-12 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0232
2020-08-12 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0153
2020-08-12 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0179
2020-08-12 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0156
2020-08-13 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.22,0.015
2020-08-13 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0153
2020-08-13 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0117
2020-08-13 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0154
2020-08-14 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.2,0.0117
2020-08-14 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0135
2020-08-14 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0106
2020-08-14 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0125
2020-08-15 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0109
2020-08-15 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.2,0.0124
2020-08-15 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0124
2020-08-15 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0131
2020-08-16 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0135
2020-08-16 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.24,0.0174
2020-08-16 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.24,0.0161
2020-08-16 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.22,0.0163
2020-08-17 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.2,0.0157
2020-08-17 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.22,0.0211
2020-08-17 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.21,0.015
2020-08-17 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.22,0.0167
2020-08-18 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.21,0.0127
2020-08-18 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.2,0.0131
2020-08-18 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0132
2020-08-18 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0151
2020-08-19 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0156
2020-08-19 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0123
2020-08-19 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0106
2020-08-19 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0108
2020-08-20 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0119
2020-08-20 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0168
2020-08-20 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0125
2020-08-20 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0118
2020-08-21 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.23,0.0105
2020-08-21 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0156
2020-08-21 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0149
2020-08-21 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.014
2020-08-22 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0134
2020-08-22 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.21,0.0135
2020-08-22 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0155
2020-08-22 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0138
2020-08-23 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.01
2020-08-23 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0128
2020-08-23 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.15,0.0148
2020-08-23 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0153
2020-08-24 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.2,0.0136
2020-08-24 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0135
2020-08-24 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.17,0.0119
2020-08-24 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.21,0.0134
2020-08-25 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.2,0.0169
2020-08-25 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.16,0.0149
2020-08-25 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.18,0.0113
2020-08-25 22:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.22,0.0135
2020-08-26 04:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0122
2020-08-26 10:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.2,0.0144
2020-08-26 16:00:00+00:00,Tiny Neural Fine-tune,Scheduled (6h),0.19,0.0115
